Model,Asset,Accuracy,IN/OUT Sample
OLS,BTCUSDT_1h,0.5184462990406364,IN-SAMPLE
OLS,LTCBTC_1h,0.5073447209006058,IN-SAMPLE
OLS,BNBUSDT_1h,0.5052907989496399,IN-SAMPLE
OLS,BNBBTC_1h,0.505004809817227,IN-SAMPLE
OLS,LTCUSDT_1h,0.5233861113277696,IN-SAMPLE
OLS,ADABTC_1h,0.4838936120427424,IN-SAMPLE
OLS,ADAUSDT_1h,0.5210462002443907,IN-SAMPLE
OLS,SOLUSDT_1h,0.5234641083638821,IN-SAMPLE
OLS,SOLBTC_1h,0.516938356342459,IN-SAMPLE
MLP,BTCUSDT_1h,0.4978550815069027,IN-SAMPLE
MLP,LTCBTC_1h,0.4978810805189402,IN-SAMPLE
MLP,BNBUSDT_1h,0.4942672178457218,IN-SAMPLE
MLP,BNBBTC_1h,0.5058107791903907,IN-SAMPLE
MLP,LTCUSDT_1h,0.4902893690039778,IN-SAMPLE
MLP,ADABTC_1h,0.4731560200712373,IN-SAMPLE
MLP,ADAUSDT_1h,0.5120505420794009,IN-SAMPLE
MLP,SOLUSDT_1h,0.5113485687543873,IN-SAMPLE
MLP,SOLBTC_1h,0.5138184748979538,IN-SAMPLE
OLS,BTCUSDT_1h,0.5102040816326531,OUT-SAMPLE
OLS,LTCBTC_1h,0.4784869361757441,OUT-SAMPLE
OLS,BNBUSDT_1h,0.5064344209021188,OUT-SAMPLE
OLS,BNBBTC_1h,0.506174444300013,OUT-SAMPLE
OLS,LTCUSDT_1h,0.5237228649421553,OUT-SAMPLE
OLS,ADABTC_1h,0.4530092291693747,OUT-SAMPLE
OLS,ADAUSDT_1h,0.5174834264916157,OUT-SAMPLE
OLS,SOLUSDT_1h,0.5273625373716365,OUT-SAMPLE
OLS,SOLBTC_1h,0.5120239178473938,OUT-SAMPLE
MLP,BTCUSDT_1h,0.4969452749252567,OUT-SAMPLE
MLP,LTCBTC_1h,0.4700376966073053,OUT-SAMPLE
MLP,BNBUSDT_1h,0.4914857662810347,OUT-SAMPLE
MLP,BNBBTC_1h,0.4845963863252307,OUT-SAMPLE
MLP,LTCUSDT_1h,0.5126738593526583,OUT-SAMPLE
MLP,ADABTC_1h,0.4485896269335759,OUT-SAMPLE
MLP,ADAUSDT_1h,0.4982451579357858,OUT-SAMPLE
MLP,SOLUSDT_1h,0.4887560119589237,OUT-SAMPLE
MLP,SOLBTC_1h,0.5016248537631613,OUT-SAMPLE
DNN,BTCUSDT_1h,0.4890159885610295,OUT-SAMPLE
DNN,LTCBTC_1h,0.4739373456388925,OUT-SAMPLE
DNN,BNBUSDT_1h,0.5131938125568699,OUT-SAMPLE
DNN,BNBBTC_1h,0.4868061874431301,OUT-SAMPLE
DNN,LTCUSDT_1h,0.4912257896789289,OUT-SAMPLE
DNN,ADABTC_1h,0.466398024177824,OUT-SAMPLE
DNN,ADAUSDT_1h,0.4905758481736644,OUT-SAMPLE
DNN,SOLUSDT_1h,0.4913557779799818,OUT-SAMPLE
DNN,SOLBTC_1h,0.5098141167294944,OUT-SAMPLE
